name,year,imdb_rating,metascore,votes,genre,runtime
Automata,(I) (2014),6.0,37,57458,"Action, Drama, Sci-Fi",109
The Loft,(2014),6.3,24,57394,"Mystery, Romance, Thriller",108
'71,(2014),7.2,83,57238,"Action, Crime, Drama",99
The Cobbler,(2014),5.8,23,57112,"Comedy, Drama, Fantasy",99
Citizenfour,(2014),8.0,88,56163,"Documentary, Biography, History",114
Tusk,(I) (2014),5.3,55,56094,"Comedy, Horror",102
Goodnight Mommy,(2014),6.7,81,55518,"Horror, Mystery, Thriller",99
Vampire Academy,(2014),5.4,31,55382,"Action, Comedy, Drama",104
Walk of Shame,(2014),6.0,25,55217,Comedy,95
Winter's Tale,(2014),6.1,31,55191,"Drama, Fantasy, Mystery",118
The Legend of Hercules,(2014),4.2,22,54938,"Action, Adventure, Fantasy",99
Leviathan,(2014),7.6,92,54265,"Crime, Drama",140
Ouija,(II) (2014),4.5,38,53777,"Horror, Mystery, Thriller",89
Veronica Mars,(2014),6.7,62,53170,"Crime, Drama, Mystery",107
Tammy,(2014),4.9,39,52482,"Comedy, Romance",97
Winter Sleep,(2014),8.1,88,52265,Drama,196
While We're Young,(2014),6.3,77,51210,"Comedy, Drama, Mystery",97
The Rover,(2014),6.4,64,49062,"Action, Crime, Drama",103
Hector and the Search for Happiness,(2014),6.9,29,48915,"Adventure, Comedy, Drama",114
"Two Days, One Night",(2014),7.3,89,48913,Drama,95
Kill the Messenger,(2014),6.9,60,47327,"Biography, Crime, Drama",112
Million Dollar Arm,(2014),7.0,56,46494,"Biography, Drama, Sport",124
Time Lapse,(2014),6.5,50,46485,"Horror, Sci-Fi, Thriller",104
Pawn Sacrifice,(2014),7.0,65,46445,"Biography, Drama, History",115
Endless Love,(2014),6.2,30,45760,"Drama, Romance",104
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),6.2,54,44841,"Comedy, Drama, Family",81
The Inbetweeners 2,(2014),6.4,55,44672,Comedy,96
Laggies,(2014),6.4,63,44576,"Comedy, Drama, Romance",99
Paranormal Activity: The Marked Ones,(2014),5.0,42,43483,"Horror, Mystery",84
God's Not Dead,(2014),4.6,16,43205,Drama,113
The Skeleton Twins,(2014),6.8,74,42908,"Comedy, Drama, Romance",93
Brick Mansions,(2014),5.6,40,42856,"Action, Crime, Thriller",90
Camp X-Ray,(2014),6.9,54,41850,"Drama, War",117
When Marnie Was There,(2014),7.7,72,41697,"Animation, Drama, Family",103
Maps to the Stars,(2014),6.2,67,41463,"Comedy, Drama",111
The One I Love,(2014),7.0,66,40635,"Comedy, Drama, Fantasy",91
Left Behind,(I) (2014),3.1,12,40387,"Action, Fantasy, Sci-Fi",110
Love & Mercy,(2014),7.4,80,40281,"Biography, Drama, Music",121
The Salvation,(2014),6.7,64,40270,"Action, Drama, Thriller",92
Annie,(2014),5.3,33,38582,"Comedy, Drama, Family",118
Black Sea,(2014),6.4,62,38533,"Adventure, Drama, Thriller",114
Wish I Was Here,(2014),6.6,43,38398,"Comedy, Drama",106
Cake,(II) (2014),6.4,49,37633,Drama,102
13 Sins,(2014),6.3,44,37102,"Horror, Thriller",93
Cold in July,(2014),6.7,73,36278,"Crime, Thriller",109
A Girl Walks Home Alone at Night,(2014),6.9,81,36266,"Drama, Horror, Romance",101
Housebound,(2014),6.7,76,35562,"Comedy, Horror, Mystery",107
Jersey Boys,(2014),6.8,54,35293,"Biography, Drama, Music",134
Muppets Most Wanted,(2014),6.4,61,35237,"Adventure, Comedy, Crime",107
Step Up All In,(2014),5.9,45,34895,"Drama, Music, Romance",112
99 Homes,(2014),7.1,76,34650,"Crime, Drama",112
The Captive,(I) (2014),5.9,36,34128,"Crime, Drama, Mystery",112
A Long Way Down,(2014),6.3,34,33706,"Comedy, Drama",96
Big Game,(2014),5.4,53,33702,"Action, Adventure",110
The Homesman,(2014),6.6,68,33701,"Drama, Western",122
"Men, Women & Children",(2014),6.6,38,32621,"Comedy, Drama",119
The Two Faces of January,(2014),6.2,66,32314,"Romance, Thriller",96
Clouds of Sils Maria,(2014),6.7,79,30124,Drama,124
A Brilliant Young Mind,(2014),7.1,65,29475,"Drama, Romance",111
Testament of Youth,(2014),7.2,76,29300,"Biography, Drama, History",129
Highway,(I) (2014),7.6,40,29272,"Crime, Drama, Romance",133
Serena,(I) (2014),5.4,36,29262,"Drama, History, Romance",109
Spring,(I) (2014),6.7,70,29112,"Horror, Romance, Sci-Fi",109
The Nut Job,(I) (2014),5.7,37,28983,"Animation, Adventure, Comedy",85
The Good Lie,(2014),7.4,65,28979,"Biography, Drama",110
Playing It Cool,(2014),5.9,30,28883,"Comedy, Romance",94
White Bird in a Blizzard,(2014),6.4,51,28873,"Drama, Mystery, Thriller",91
The Woman in Black 2: Angel of Death,(2014),4.8,42,28695,"Drama, Horror, Thriller",98
Son of a Gun,(2014),6.4,49,28520,"Action, Crime, Drama",108
In Order of Disappearance,(2014),7.1,74,27658,"Action, Comedy, Crime",116
Heaven Is for Real,(2014),5.8,47,27503,"Biography, Drama, Family",99
She's Funny That Way,(2014),6.1,45,27430,"Comedy, Drama",93
Dear White People,(2014),6.1,79,27254,"Comedy, Drama, Romance",108
Suite Française,(2014),7.0,63,26988,"Drama, Romance, Thriller",107
Top Five,(2014),6.4,81,26923,"Comedy, Romance",102
The Little Death,(2014),7.0,46,26868,"Comedy, Drama, Romance",96
Cooties,(2014),5.7,49,26536,"Action, Comedy, Horror",88
Honeymoon,(2014),5.7,65,26291,"Drama, Fantasy, Horror",87
Mr. Turner,(2014),6.8,94,26174,"Biography, Drama, History",150
The Way He Looks,(2014),7.9,71,25921,"Drama, Romance",96
You're Not You,(2014),7.3,56,25905,Drama,102
Obvious Child,(2014),6.7,76,25639,"Comedy, Drama, Romance",84
Barefoot,(I) (2014),6.5,22,25371,"Comedy, Drama, Romance",90
Dead Snow 2: Red vs. Dead,(2014),6.8,59,25365,"Action, Comedy, Fantasy",100
Get on Up,(2014),6.9,71,25088,"Biography, Drama, Music",139
The Pyramid,(2014),4.6,24,25047,"Horror, Mystery, Thriller",89
Clown,(2014),5.7,42,24857,"Horror, Thriller",100
Rage,(2014),5.0,28,24745,"Action, Thriller",92
Jessabelle,(2014),5.4,37,24694,"Drama, Horror, Mystery",90
About Last Night,(2014),6.0,62,24331,"Comedy, Romance",100
Department Q: The Absent One,(2014),7.1,61,24259,"Crime, Drama, Mystery",119
Good Kill,(2014),6.4,63,24217,"Drama, Thriller, War",102
A Little Chaos,(2014),6.5,51,23798,"Drama, Romance",117
Kill Me Three Times,(2014),5.8,30,23659,"Action, Comedy, Crime",90
The Riot Club,(2014),6.0,54,23265,"Drama, Thriller",107
They Came Together,(2014),5.6,60,23150,"Comedy, Romance",83
The Angriest Man in Brooklyn,(2014),5.7,21,22820,"Comedy, Drama",83
What We Did on Our Holiday,(2014),6.9,54,22627,"Comedy, Drama",95
Escobar: Paradise Lost,(2014),6.5,56,22609,"Crime, Drama, History",120
The Salt of the Earth,(2014),8.4,83,22127,"Documentary, Biography, History",110
A Haunted House 2,(2014),4.6,17,22124,"Comedy, Fantasy, Horror",86
Life After Beth,(2014),5.6,50,22105,"Comedy, Fantasy, Horror",89
Trash,(I) (2014),7.1,50,22102,"Adventure, Crime, Drama",114
Backcountry,(I) (2014),6.0,62,22036,"Adventure, Drama, Horror",92
Think Like a Man Too,(2014),5.7,38,21704,"Comedy, Romance",106
Beauty and the Beast,(2014),6.4,39,21435,"Drama, Family, Fantasy",112
Starry Eyes,(2014),6.0,49,21031,"Horror, Mystery",98
No Good Deed,(I) (2014),5.6,26,20929,"Crime, Horror, Thriller",84
The Rewrite,(2014),6.3,51,20854,"Comedy, Romance",107
The Quiet Ones,(2014),5.1,41,20591,"Horror, Mystery, Thriller",98
5 to 7,(2014),7.1,52,20539,"Comedy, Drama, Romance",95
Grace of Monaco,(2014),5.7,21,20395,"Biography, Drama, Romance",103
Reasonable Doubt,(2014),5.7,19,20137,"Crime, Drama, Thriller",91
Cuban Fury,(2014),6.2,52,19399,"Comedy, Romance, Sport",98
Phoenix,(II) (2014),7.3,89,19272,"Drama, History, Music",98
Earth to Echo,(2014),5.7,53,19257,"Adventure, Family, Sci-Fi",91
Son of God,(2014),5.7,37,19159,"Biography, Drama, History",138
Welcome to Me,(2014),5.9,69,19097,"Comedy, Drama",87
Just Before I Go,(2014),6.4,24,19000,"Comedy, Drama",95
Comet,(2014),6.7,52,18947,"Comedy, Drama, Romance",91
Rudderless,(2014),7.4,52,18928,"Comedy, Drama, Music",105
Zombeavers,(2014),4.8,44,18921,"Comedy, Horror",77
A Pigeon Sat on a Branch Reflecting on Existence,(2014),6.9,81,18717,"Comedy, Drama, Fantasy",101
The Prince,(I) (2014),4.6,19,18693,"Action, Thriller",93
Everly,(2014),5.1,35,18690,"Action, Thriller",92
[REC] 4: Apocalypse,(2014),5.3,53,18604,"Horror, Thriller",95
Planes: Fire & Rescue,(2014),5.9,48,18516,"Animation, Adventure, Comedy",83
Lost River,(2014),5.7,42,18452,"Drama, Fantasy, Mystery",95
The Internet's Own Boy: The Story of Aaron Swartz,(2014),8.0,72,17756,"Documentary, Biography, Crime",105
V/H/S Viral,(2014),4.2,38,17658,"Horror, Thriller",81
Timbuktu,(2014),7.1,92,17639,"Drama, War",96
Wyrmwood: Road of the Dead,(2014),6.2,54,17583,"Action, Comedy, Horror",98
The Bag Man,(I) (2014),5.2,28,17173,"Action, Crime, Drama",108
American Heist,(2014),5.0,23,17161,"Action, Crime, Drama",94
Devil's Due,(2014),4.1,34,17091,"Horror, Mystery",89
Beyond the Lights,(2014),6.8,73,16737,"Drama, Music, Romance",116
Samba,(2014),6.7,53,16709,"Comedy, Drama, Romance",118
Good People,(2014),5.5,42,16708,"Action, Crime, Thriller",90
White God,(2014),6.9,80,16522,"Drama, Thriller",121
Infinitely Polar Bear,(2014),6.9,64,16425,"Comedy, Drama, Romance",90
When the Game Stands Tall,(2014),6.6,41,16281,"Biography, Drama, Family",115
Kirk Cameron's Saving Christmas,(2014),1.3,18,16171,"Comedy, Family",79
Extraterrestrial,(2014),5.0,38,16005,"Action, Horror, Mystery",101
Life Itself,(2014),7.8,87,15838,"Documentary, Biography",121
The Trip to Italy,(2014),6.6,75,15803,"Comedy, Drama",108
The Road Within,(2014),7.0,31,15566,"Adventure, Comedy, Drama",100
The Town That Dreaded Sundown,(2014),5.6,47,15320,"Horror, Mystery, Thriller",86
Better Living Through Chemistry,(2014),6.2,40,15248,"Comedy, Drama",91
Some Kind of Beautiful,(II) (2014),5.7,11,15180,"Comedy, Romance",99
The Fool,(II) (2014),8.0,83,14884,"Crime, Drama, Thriller",116
A Hard Day,(2014),7.2,76,14714,"Action, Crime, Thriller",111
Open Windows,(2014),5.1,47,14636,"Crime, Mystery, Thriller",100
The Canal,(2014),5.8,55,14406,"Drama, Horror, Mystery",92
And So It Goes,(2014),5.8,38,14404,"Comedy, Drama, Romance",94
Moms' Night Out,(2014),5.3,25,14063,Comedy,98
Outcast,(I) (2014),4.6,33,13738,"Action, Adventure, Thriller",99
The Pirate Fairy,(2014 Video),6.5,51,13669,"Animation, Adventure, Family",78
The Duke of Burgundy,(2014),6.5,87,13454,"Drama, Romance",104
Copenhagen,(2014),7.0,71,13413,"Adventure, Drama, Romance",98
Labyrinth of Lies,(2014),7.3,62,13405,"Drama, History",124
Black or White,(2014),6.6,45,13344,Drama,121
The Look of Silence,(2014),8.3,92,13172,"Documentary, Biography, History",103
Love Is Strange,(2014),6.7,82,12841,"Drama, Romance",94
Cut Bank,(2014),6.1,44,12799,"Crime, Drama, Thriller",93
The Forger,(2014),5.8,32,12799,"Crime, Drama, Thriller",92
The Longest Week,(2014),5.4,34,12798,"Comedy, Drama, Romance",86
The Possession of Michael King,(2014),5.7,34,12699,Horror,83
The Disappearance of Eleanor Rigby: Them,(2014),6.3,57,12625,"Drama, Romance",123
In the Blood,(I) (2014),5.7,40,12558,"Action, Crime, Thriller",108
Yves Saint Laurent,(2014),6.2,51,12508,"Biography, Drama",106
Fed Up,(2014),7.7,71,12087,Documentary,92
"Kumiko, The Treasure Hunter",(2014),6.6,68,12085,Drama,105
A Good Marriage,(2014),5.3,43,11955,"Crime, Drama, Thriller",102
Behaving Badly,(2014),4.4,18,11874,"Comedy, Romance",97
Virunga,(2014),8.2,95,11697,"Documentary, War",100
God's Pocket,(2014),6.1,51,11674,"Crime, Drama",88
"20,000 Days on Earth",(2014),7.4,83,11627,"Documentary, Drama, Music",97
The Tribe,(2014),7.0,78,11364,"Crime, Drama",126
Rob the Mob,(2014),6.3,63,11342,"Biography, Crime, Drama",104
Kung Fu Jungle,(2014),6.4,66,11339,"Action, Crime, Thriller",100
Addicted,(I) (2014),5.0,32,11313,"Drama, Romance, Thriller",106
The Connection,(2014),7.1,67,11290,"Action, Crime, Thriller",135
Theeb,(2014),7.2,80,11128,"Adventure, Drama, Thriller",100
Burying the Ex,(2014),5.4,37,11026,"Comedy, Horror, Romance",89
Dying of the Light,(2014),4.5,31,10931,"Action, Drama, Thriller",94
Monsters: Dark Continent,(2014),4.3,42,10811,"Action, Drama, Horror",119
Rosewater,(2014),6.6,67,10801,"Biography, Drama",103
5 Flights Up,(2014),6.2,55,10747,"Comedy, Drama",88
Beyond the Reach,(2014),5.6,34,10547,Thriller,91
Dark Was the Night,(2014),5.6,40,10515,"Drama, Horror, Thriller",99
Premature,(2014),5.7,34,10344,"Comedy, Drama, Fantasy",93
That Sugar Film,(2014),7.4,56,10341,Documentary,90
The Last Five Years,(2014),5.8,60,10340,"Comedy, Drama, Musical",94
Northmen - A Viking Saga,(2014),5.4,50,10217,"Action, Drama, History",97
An Honest Liar,(2014),7.5,76,10146,"Documentary, Biography, Comedy",90
Kid Cannabis,(2014),6.4,54,10118,"Biography, Comedy, Crime",110
Faults,(2014),6.7,70,10021,"Drama, Mystery, Thriller",89
Song One,(2014),5.8,48,9998,"Drama, Music, Romance",86
Young Ones,(2014),5.8,47,9887,"Action, Drama, Romance",100
Wolves,(2014),5.3,37,9798,"Action, Fantasy, Horror",91
Before I Disappear,(2014),7.2,47,9789,"Adventure, Drama",93
Exists,(2014),5.2,22,9541,"Horror, Thriller",81
Mad Max: Fury Road,(2015),8.1,90,1005788,"Action, Adventure, Sci-Fi",120
Star Wars: Episode VII - The Force Awakens,(2015),7.8,80,933539,"Action, Adventure, Sci-Fi",138
Avengers: Age of Ultron,(2015),7.3,66,866823,"Action, Adventure, Sci-Fi",141
The Martian,(2015),8.0,80,858395,"Adventure, Drama, Sci-Fi",144
The Revenant,(2015),8.0,76,808245,"Action, Adventure, Drama",156
Inside Out,(I) (2015),8.2,94,716732,"Animation, Adventure, Comedy",95
Ant-Man,(2015),7.3,64,669978,"Action, Adventure, Comedy",117
Jurassic World,(2015),6.9,59,646034,"Action, Adventure, Sci-Fi",124
The Hateful Eight,(2015),7.8,68,605847,"Crime, Drama, Mystery",168
Spotlight,(I) (2015),8.1,93,472408,"Biography, Crime, Drama",129
Spectre,(I) (2015),6.8,60,443768,"Action, Adventure, Thriller",148
The Big Short,(2015),7.8,81,435073,"Biography, Comedy, Drama",130
Sicario,(2015),7.6,82,433372,"Action, Crime, Drama",121
Room,(I) (2015),8.1,86,423312,"Drama, Thriller",118
Furious 7,(2015),7.1,67,392656,"Action, Crime, Thriller",137
Mission: Impossible - Rogue Nation,(2015),7.4,75,376408,"Action, Adventure, Thriller",131
The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,330917,"Action, Adventure, Sci-Fi",137
Fifty Shades of Grey,(2015),4.2,46,322143,"Drama, Romance, Thriller",125
Bridge of Spies,(2015),7.6,81,313614,"Drama, History, Thriller",142
The Man from U.N.C.L.E.,(2015),7.2,56,311942,"Action, Adventure, Comedy",116
Terminator Genisys,(2015),6.3,38,280394,"Action, Adventure, Sci-Fi",126
Creed,(II) (2015),7.6,82,276937,"Action, Drama, Sport",133
The Witch,(2015),6.9,83,266578,"Drama, Fantasy, Horror",92
The Lobster,(2015),7.1,82,259725,"Drama, Romance, Sci-Fi",119
The Intern,(I) (2015),7.1,51,254998,"Comedy, Drama",121
Chappie,(2015),6.8,41,254459,"Action, Crime, Drama",120
Maze Runner: The Scorch Trials,(2015),6.3,43,253957,"Action, Adventure, Sci-Fi",131
Focus,(II) (2015),6.6,56,251703,"Comedy, Crime, Drama",105
Spy,(2015),7.0,75,247104,"Action, Comedy",120
Minions,(2015),6.4,56,241634,"Animation, Adventure, Comedy",91
Southpaw,(2015),7.3,57,240731,"Action, Crime, Drama",124
The Divergent Series: Insurgent,(2015),6.2,42,240598,"Action, Adventure, Sci-Fi",119
San Andreas,(2015),6.1,43,240506,"Action, Adventure, Thriller",114
Everest,(2015),7.1,64,220200,"Action, Adventure, Biography",121
Ted 2,(2015),6.3,48,213244,Comedy,115
Straight Outta Compton,(2015),7.8,72,204477,"Biography, Drama, History",147
Jupiter Ascending,(2015),5.3,40,189735,"Action, Adventure, Sci-Fi",127
The Danish Girl,(2015),7.1,66,188271,"Biography, Drama, Romance",119
Legend,(I) (2015),6.9,55,185723,"Biography, Crime, Drama",132
The Age of Adaline,(2015),7.2,51,184501,"Drama, Fantasy, Romance",112
Tomorrowland,(2015),6.4,60,184103,"Action, Adventure, Family",130
Black Mass,(2015),6.9,68,183203,"Biography, Crime, Drama",123
Cinderella,(I) (2015),6.9,67,179433,"Adventure, Drama, Family",105
Steve Jobs,(2015),7.2,82,170947,"Biography, Drama",122
Fantastic Four,(2015),4.3,27,168880,"Action, Adventure, Sci-Fi",100
The Gift,(VI) (2015),7.0,77,160513,"Drama, Mystery, Thriller",108
Pitch Perfect 2,(2015),6.4,63,159495,"Comedy, Music",115
Crimson Peak,(2015),6.5,66,150363,"Drama, Horror, Mystery",119
Pixels,(2015),5.6,27,146731,"Action, Comedy, Fantasy",105
Brooklyn,(2015),7.5,88,143827,"Drama, Romance",117
In the Heart of the Sea,(2015),6.9,47,140978,"Action, Adventure, Biography",122
Get Hard,(2015),6.0,34,138933,"Comedy, Crime",100
Joy,(I) (2015),6.6,56,138432,"Biography, Drama",124
Trainwreck,(2015),6.2,75,138186,"Comedy, Drama, Romance",125
The Visit,(I) (2015),6.2,55,136599,"Horror, Mystery, Thriller",94
Me and Earl and the Dying Girl,(2015),7.7,74,133135,"Comedy, Drama, Romance",105
Carol,(2015),7.2,94,131797,"Drama, Romance",118
Hotel Transylvania 2,(2015),6.6,44,130092,"Animation, Adventure, Comedy",89
The Walk,(II) (2015),7.3,70,129883,"Adventure, Biography, Drama",123
Green Room,(2015),7.0,79,127261,"Crime, Drama, Horror",95
Daddy's Home,(2015),6.1,42,122179,"Comedy, Family",96
Burnt,(I) (2015),6.6,42,121558,"Comedy, Drama",101
The Good Dinosaur,(2015),6.7,66,117610,"Animation, Adventure, Comedy",93
Vacation,(I) (2015),6.1,34,114100,"Adventure, Comedy",99
The Invitation,(I) (2015),6.6,74,111175,"Drama, Horror, Mystery",100
Run All Night,(2015),6.6,59,110575,"Action, Crime, Thriller",114
Insidious: Chapter 3,(2015),6.1,52,106689,"Horror, Mystery, Thriller",97
The Last Witch Hunter,(2015),5.9,34,105172,"Action, Adventure, Fantasy",106
Paper Towns,(2015),6.2,56,104081,"Adventure, Comedy, Drama",109
Home,(II) (2015),6.6,55,104036,"Animation, Adventure, Comedy",94
Bone Tomahawk,(2015),7.1,72,103980,"Drama, Horror, Western",132
Demolition,(2015),7.0,49,101557,"Comedy, Drama",101
Self/less,(2015),6.5,34,100441,"Action, Mystery, Sci-Fi",117
Hardcore Henry,(2015),6.7,51,96989,"Action, Adventure, Sci-Fi",96
Knock Knock,(I) (2015),4.9,53,96457,"Crime, Drama, Horror",99
Concussion,(2015),7.1,55,96267,"Biography, Drama, Sport",123
The DUFF,(2015),6.4,56,96056,"Comedy, Romance",101
Eddie the Eagle,(2015),7.3,54,94642,"Adventure, Biography, Comedy",106
American Ultra,(2015),6.1,50,92735,"Action, Comedy",96
Hitman: Agent 47,(2015),5.7,28,92109,"Action, Crime, Thriller",96
Goosebumps,(2015),6.3,60,90293,"Adventure, Comedy, Fantasy",103
Eye in the Sky,(2015),7.3,73,87396,"Action, Drama, Thriller",102
No Escape,(I) (2015),6.7,38,87302,"Action, Thriller",103
Dope,(2015),7.2,72,86384,"Adventure, Comedy, Crime",103
The Longest Ride,(2015),7.0,33,84263,"Comedy, Drama, Romance",123
Beasts of No Nation,(2015),7.7,79,82535,"Drama, War",137
Trumbo,(2015),7.4,60,82233,"Biography, Drama",124
Project Almanac,(2015),6.3,47,81114,"Drama, Mystery, Sci-Fi",106
Entourage,(2015),6.5,38,80763,"Comedy, Drama",104
Youth,(I) (2015),7.3,64,79610,"Comedy, Drama, Music",124
The Night Before,(II) (2015),6.4,58,77917,"Comedy, Fantasy",101
Krampus,(I) (2015),6.2,49,77907,"Comedy, Drama, Fantasy",98
The Wedding Ringer,(2015),6.6,35,76950,Comedy,101
Mortdecai,(2015),5.5,27,73914,"Action, Adventure, Comedy",107
Anomalisa,(2015),7.2,88,72634,"Animation, Comedy, Drama",90
Child 44,(2015),6.4,41,72061,"Crime, Drama, History",137
True Story,(I) (2015),6.3,50,69636,"Biography, Crime, Drama",99
Aloha,(I) (2015),5.4,40,67713,"Comedy, Drama, Romance",105
Sisters,(III) (2015),6.0,58,67379,Comedy,118
Mr. Holmes,(2015),6.8,67,65281,"Drama, Mystery",104
Pan,(2015),5.7,36,64975,"Action, Adventure, Comedy",111
Solace,(II) (2015),6.4,36,64170,"Crime, Drama, Mystery",101
Irrational Man,(2015),6.6,53,64025,"Comedy, Crime, Drama",95
Point Break,(2015),5.3,34,63660,"Action, Adventure, Crime",114
The Little Prince,(2015),7.7,70,63034,"Animation, Adventure, Drama",108
The Dressmaker,(I) (2015),7.0,47,61784,"Comedy, Drama, Western",119
Blackhat,(2015),5.4,51,60812,"Action, Crime, Thriller",133
Love,(II) (2015),6.1,51,60250,"Drama, Romance",135
Woman in Gold,(2015),7.3,51,59987,"Biography, Drama, History",109
Victoria,(II) (2015),7.6,77,59520,"Crime, Drama, Romance",138
Poltergeist,(2015),4.9,47,58922,"Horror, Thriller",93
The Man Who Knew Infinity,(2015),7.2,56,58313,"Biography, Drama",108
A Man Called Ove,(2015),7.7,70,57699,"Comedy, Drama, Romance",116
Victor Frankenstein,(2015),5.9,36,57595,"Drama, Horror, Sci-Fi",110
Macbeth,(I) (2015),6.6,71,57498,"Drama, History, War",113
Mr. Right,(I) (2015),6.3,52,57209,"Action, Comedy, Romance",95
Magic Mike XXL,(2015),5.6,60,57028,"Comedy, Drama, Music",115
Wild Card,(2015),5.6,40,56704,"Action, Crime, Drama",92
The SpongeBob Movie: Sponge Out of Water,(2015),6.0,62,56537,"Animation, Adventure, Comedy",92
Masterminds,(I) (2016),5.8,47,56428,"Biography, Comedy, Crime",95
Ip Man 3,(2015),7.0,57,56423,"Action, Biography, Drama",105
Sinister 2,(2015),5.3,32,56313,"Horror, Mystery, Thriller",97
Colonia,(2015),7.0,33,54510,"Biography, Drama, History",110
Man Up,(I) (2015),6.8,69,54020,"Comedy, Drama, Romance",88
Amy,(III) (2015),7.8,85,52734,"Documentary, Biography, Music",128
Hot Pursuit,(2015),5.1,31,51941,"Action, Comedy, Crime",87
Scouts Guide to the Zombie Apocalypse,(2015),6.3,32,51777,"Action, Comedy, Horror",93
Far from the Madding Crowd,(2015),7.1,71,50335,"Drama, Romance",119
The Ridiculous 6,(2015),4.8,18,50315,"Action, Adventure, Comedy",119
Son of Saul,(2015),7.4,91,49428,"Drama, War",107
Secret in Their Eyes,(2015),6.3,45,49105,"Crime, Drama, Mystery",111
The Final Girls,(2015),6.5,59,47844,"Comedy, Crime, Fantasy",91
The Peanuts Movie,(2015),7.0,67,46911,"Animation, Adventure, Comedy",88
Slow West,(2015),6.9,72,46183,"Action, Adventure, Drama",84
Dark Places,(2015),6.2,39,45961,"Crime, Drama, Mystery",113
Maggie,(I) (2015),5.6,52,44915,"Drama, Horror, Sci-Fi",95
Sleeping with Other People,(2015),6.5,64,44625,"Comedy, Drama, Romance",101
The Lazarus Effect,(2015),5.2,31,44389,"Horror, Mystery, Sci-Fi",83
Last Knights,(2015),6.1,27,43856,"Action, Drama, History",115
The Stanford Prison Experiment,(2015),6.8,67,43727,"Biography, Drama, History",122
Absolutely Anything,(2015),6.0,31,43607,"Comedy, Sci-Fi",85
High-Rise,(2015),5.5,65,43213,"Drama, Sci-Fi",119
The Boy Next Door,(2015),4.7,30,43015,Thriller,91
Suffragette,(2015),6.9,64,42780,"Drama, History",106
The Transporter Refueled,(2015),5.2,32,42757,"Action, Thriller",96
Land of Mine,(2015),7.8,75,42122,"Drama, History, War",100
The Gunman,(2015),5.8,39,41804,"Action, Adventure, Crime",115
Shaun the Sheep Movie,(2015),7.3,81,41378,"Animation, Adventure, Comedy",85
Regression,(I) (2015),5.6,32,40660,"Adventure, Crime, Drama",106
Hot Tub Time Machine 2,(2015),5.0,29,39732,"Comedy, Mystery, Sci-Fi",93
"McFarland, USA",(2015),7.4,60,39634,"Biography, Drama, Sport",129
Going Clear: Scientology & the Prison of Belief,(2015),8.0,80,39612,Documentary,119
The Wave,(2015),6.6,68,39384,"Action, Drama, Thriller",105
We Are Your Friends,(2015),6.1,46,39225,"Drama, Music, Romance",96
Mustang,(2015),7.6,83,39200,Drama,97
The 33,(2015),6.8,55,38480,"Biography, Drama, History",127
Paul Blart: Mall Cop 2,(2015),4.4,13,38411,"Action, Comedy, Crime",94
The Second Best Exotic Marigold Hotel,(2015),6.5,51,34334,"Comedy, Drama, Romance",122
Survivor,(I) (2015),5.6,28,34271,"Action, Crime, Thriller",96
Cop Car,(2015),6.3,66,34016,"Crime, Thriller",88
Unfinished Business,(I) (2015),5.4,32,33935,"Comedy, Drama",91
45 Years,(2015),7.1,94,33604,"Drama, Romance",95
The Brand New Testament,(2015),7.1,70,33308,"Comedy, Fantasy",114
Tangerine,(2015),7.1,86,33146,"Comedy, Crime, Drama",88
The Diary of a Teenage Girl,(2015),6.8,87,32283,"Comedy, Drama, Romance",102
Danny Collins,(2015),7.0,58,32109,"Biography, Comedy, Drama",106
Z for Zachariah,(2015),6.0,68,31406,"Drama, Romance, Sci-Fi",98
Equals,(2015),6.0,43,31220,"Drama, Romance, Sci-Fi",101
The End of the Tour,(2015),7.2,82,31188,"Biography, Drama",106
Heist,(III) (2015),6.1,37,30995,"Action, Crime, Drama",93
A Bigger Splash,(2015),6.4,74,30862,"Drama, Music, Thriller",125
Cobain: Montage of Heck,(2015),7.5,83,30406,"Documentary, Animation, Biography",132
The Lady in the Van,(2015),6.7,70,29890,"Biography, Comedy, Drama",104
Tale of Tales,(2015),6.4,72,29203,"Drama, Fantasy, Horror",134
Paranormal Activity: The Ghost Dimension,(2015),4.6,30,28709,"Horror, Mystery",88
Turbo Kid,(2015),6.7,60,28494,"Action, Adventure, Comedy",93
Knight of Cups,(2015),5.6,53,27766,"Drama, Fantasy, Romance",118
A Walk in the Woods,(2015),6.3,51,27534,"Adventure, Biography, Comedy",104
Mistress America,(2015),6.7,75,27500,"Comedy, Drama",84
Fathers & Daughters,(2015),7.0,31,27244,Drama,116
Max,(I) (2015),6.6,47,27244,"Adventure, Drama, Family",111
Remember,(I) (2015),7.4,52,26038,"Drama, Mystery, Thriller",94
Love the Coopers,(2015),5.8,31,25126,"Comedy, Fantasy, Romance",107
Where to Invade Next,(2015),7.5,64,24978,"Documentary, Comedy",120
The Boy and the Beast,(2015),7.6,65,24662,"Animation, Action, Adventure",119
Mississippi Grind,(2015),6.4,77,24440,"Comedy, Drama",108
Ricki and the Flash,(2015),6.0,54,23826,"Comedy, Drama, Music",101
Little Boy,(2015),7.3,30,23331,"Drama, History, War",106
