name,year,imdb_rating,metascore,votes,genre,runtime
Here Comes the Boom,(2012),6.4,40,92441,"Action, Comedy, Sport",105
Stuck in Love.,(2012),7.2,49,88827,"Comedy, Drama, Romance",97
To Rome with Love,(2012),6.3,54,88665,"Comedy, Music, Romance",112
Mirror Mirror,(I) (2012),5.6,46,88573,"Adventure, Comedy, Drama",106
The Raven,(I) (2012),6.4,44,86138,"Crime, Mystery, Thriller",110
Frances Ha,(2012),7.4,82,85284,"Comedy, Drama, Romance",86
Beasts of the Southern Wild,(2012),7.2,86,83720,"Adventure, Drama, Fantasy",93
Rock of Ages,(2012),5.9,47,79238,"Comedy, Drama, Musical",123
The Words,(2012),7.0,37,79057,"Drama, Mystery, Romance",102
Red Dawn,(2012),5.3,31,78111,"Action, Drama",93
Wanderlust,(2012),5.6,53,78082,"Comedy, Romance",98
House at the End of the Street,(2012),5.5,31,77880,"Drama, Horror, Thriller",101
Hitchcock,(2012),6.8,55,76739,"Biography, Drama, Romance",98
Disconnect,(I) (2012),7.5,64,76462,"Drama, Thriller",115
The Iceman,(2012),6.8,60,75951,"Biography, Crime, Drama",106
What to Expect When You're Expecting,(2012),5.7,41,73740,"Comedy, Drama, Romance",110
Upside Down,(I) (2012),6.3,45,72414,"Drama, Fantasy, Romance",109
The First Time,(I) (2012),6.8,55,71624,"Comedy, Drama, Romance",95
Act of Valor,(2012),6.4,40,69808,"Action, Adventure, Thriller",110
Searching for Sugar Man,(2012),8.2,79,69256,"Documentary, Biography, Music",86
Rust and Bone,(2012),7.4,73,68238,"Drama, Romance",120
Paranormal Activity 4,(2012),4.6,40,67362,"Horror, Mystery",88
Trouble with the Curve,(2012),6.8,58,65206,"Drama, Sport",111
Robot & Frank,(2012),7.0,67,64581,"Comedy, Crime, Drama",89
Silent Hill: Revelation,(2012),4.9,16,64528,"Horror, Mystery, Thriller",95
V/H/S,(2012),5.8,54,64170,Horror,116
The Man with the Iron Fists,(2012),5.4,51,63135,Action,95
Red Lights,(2012),6.2,36,62556,"Drama, Fantasy, Mystery",114
The Possession,(I) (2012),5.9,45,60963,"Horror, Mystery, Thriller",92
Step Up Revolution,(2012),6.4,43,56740,"Drama, Music, Romance",99
Stand Up Guys,(2012),6.4,41,55958,"Comedy, Crime, Thriller",95
Arbitrage,(2012),6.6,73,53111,"Drama, Thriller",107
The Collection,(II) (2012),6.1,38,50880,"Action, Adventure, Horror",82
Bullet to the Head,(2012),5.7,48,50606,"Action, Crime, Thriller",92
Kon-Tiki,(2012),7.2,62,49777,"Action, Adventure, Biography",118
The Pirates! Band of Misfits,(2012),6.7,73,49195,"Animation, Adventure, Comedy",88
The Imposter,(2012),7.5,77,48562,"Documentary, Biography, Crime",99
A Royal Affair,(2012),7.5,73,48313,"Biography, Drama, History",137
Cosmopolis,(2012),5.1,58,48306,"Crime, Drama, Fantasy",109
Think Like a Man,(2012),6.5,51,48219,"Comedy, Romance",122
Bachelorette,(2012),5.3,53,47583,"Comedy, Romance",87
The Odd Life of Timothy Green,(2012),6.6,47,47357,"Comedy, Drama, Family",105
Holy Motors,(2012),7.0,84,46916,"Drama, Fantasy",115
Wolf Children,(2012),8.1,71,45666,"Animation, Drama, Family",117
Stolen,(2012),5.5,43,45420,"Action, Crime, Thriller",96
Gone,(I) (2012),5.9,36,44871,"Action, Adventure, Mystery",94
Byzantium,(2012),6.5,66,44293,"Drama, Fantasy, Horror",118
People Like Us,(2012),7.0,49,43445,"Comedy, Drama",114
Piranha 3DD,(2012),3.8,24,43327,"Comedy, Horror, Sci-Fi",83
A Thousand Words,(I) (2012),5.8,26,43213,"Comedy, Drama, Fantasy",91
The Sessions,(2012),7.2,79,43080,"Biography, Comedy, Drama",95
Hope Springs,(2012),6.3,65,43021,"Comedy, Drama, Romance",100
Talaash: The Answer Lies Within,(2012),7.2,65,43014,"Crime, Drama, Mystery",140
One for the Money,(2012),5.3,22,42934,"Action, Comedy, Crime",91
Would You Rather,(2012),5.7,20,42366,"Horror, Thriller",93
On the Road,(2012),6.0,56,42282,"Adventure, Drama, Romance",124
The Broken Circle Breakdown,(2012),7.7,70,41601,"Drama, Music, Romance",111
The Tall Man,(2012),5.9,52,41463,"Crime, Drama, Horror",106
Deadfall,(2012),6.2,52,39794,"Crime, Drama, Thriller",95
John Dies at the End,(2012),6.3,53,39017,"Comedy, Fantasy, Horror",99
The Act of Killing,(2012),8.2,91,38726,"Documentary, Biography, Crime",117
Promised Land,(2012),6.6,55,38575,Drama,106
Liberal Arts,(2012),6.7,55,38557,"Comedy, Drama, Romance",97
Maniac,(2012),6.1,47,38285,"Horror, Thriller",89
The Paperboy,(2012),5.7,45,38152,"Crime, Drama, Mystery",107
The Cold Light of Day,(2012),4.9,22,37997,"Action, Thriller",93
The Guilt Trip,(2012),5.8,50,37823,"Comedy, Drama",95
Hit and Run,(I) (2012),6.1,50,36481,"Action, Adventure, Comedy",100
The Devil Inside,(2012),4.2,18,36404,Horror,83
[REC] 3: Genesis,(2012),5.0,45,36065,"Horror, Thriller",80
Red Tails,(2012),5.9,46,36013,"Action, Drama, History",125
Compliance,(2012),6.4,68,35413,"Crime, Drama, History",90
Alex Cross,(2012),5.1,30,34475,"Action, Crime, Mystery",101
The Company You Keep,(2012),6.4,57,33810,"Drama, Thriller",125
Chasing Mavericks,(2012),7.1,45,33261,"Biography, Drama, Sport",116
In the House,(2012),7.4,72,32798,"Drama, Mystery, Thriller",105
The Three Stooges,(2012),5.1,56,32041,"Comedy, Family",92
Celeste & Jesse Forever,(2012),6.6,59,32041,"Comedy, Drama, Romance",92
Erased,(2012),6.0,34,31556,"Action, Thriller",100
The Lords of Salem,(2012),5.2,57,30809,"Horror, Thriller",101
Playing for Keeps,(2012),5.7,27,30506,"Comedy, Romance, Sport",105
To the Wonder,(2012),5.8,58,29190,"Drama, Romance",112
Sightseers,(2012),6.5,69,29136,"Adventure, Comedy, Crime",88
Thanks for Sharing,(2012),6.4,54,28756,"Comedy, Drama, Romance",112
The Bay,(II) (2012),5.7,65,28081,"Horror, Sci-Fi, Thriller",84
What Maisie Knew,(2012),7.4,74,28033,Drama,99
Diary of a Wimpy Kid: Dog Days,(2012),6.3,54,26835,"Comedy, Family",94
American Mary,(2012),6.2,46,26292,"Drama, Horror",103
Parental Guidance,(2012),6.0,36,26153,"Comedy, Family",105
Escape from Planet Earth,(2012),5.8,35,26027,"Animation, Adventure, Comedy",89
The Angels' Share,(2012),7.0,66,25802,"Comedy, Crime, Drama",101
No,(I) (2012),7.4,81,25278,"Drama, History",118
The Pact,(II) (2012),5.7,54,24688,"Horror, Mystery, Thriller",89
